"x";"f.slope";"f.sinuosity";"f.vall_bott_W";"f.wat_cov";"f.act_chan_cov";"f.act_chan_vW"
1664.392;1.20597080698861;0.145345389903183;8.19261916946833;2.52311685076289;1.93622425709741;0.322877386855426
3400;0.0295588022415444;0.105001103130065;8.04112899397218;-0.884609362956161;3.56279942053468;0.810039597510981
2600;1.07840958135059;0.0649299823639046;8.1341742721379;1.54974251262985;3.04053321179713;0.53620970455419
4200;0.974559639998131;0.211576482353552;8.36935584052202;0.636398554417938;3.63560584150389;0.898853991658685
2800;1.01523067972906;0.165829866791282;8.04664605449696;1.43788692572198;2.92706522032255;0.66275549656867
2500;0.246860077931526;0.125912036638226;8.04664605449696;-0.305831726356163;3.79388365294469;0.642263802145361
4397.991;1.05779029414785;0.257527131974182;8.32142158689788;-0.3955229541046;4.15728012137913;0.967795303941005
3400;0.582215619852664;0.233484333383534;8.52235046976495;-0.0517263126517096;3.78027038061544;1.3340226935445
1700;0.582215619852664;0.0585124789614145;8.15737044118677;-0.40478938949679;3.37034050762801;0.808739373627899
2700;0.858661619037519;0.0984588724791094;7.71500807510346;1.2907131266777;3.29518047906824;0.767217937735484
2000;0.871293365943419;0.202340811552169;8.30626226153021;1.16380336942792;3.01291222496145;0.815268348454621
2500;0.62057648772511;0.0666082882952541;8.64214690067583;0.445794262159764;3.27953452980625;0.648167596897882
1824.889;0.62057648772511;0.0254761863219717;8.7134349116129;1.0815095631942;3.13609697765804;0.371521486582042
1900;-0.210721031315653;0.00924417497676962;6.93818263595962;6.90675477864855;3.84790213971884;1.48576813385624
2000;-0.446287102628419;0.0138687277530459;8.16606000638384;6.90675477864855;3.62237192932476;2.1192782910054
2700;-0.446287102628419;0.115136125150146;8.52381561468497;3.17302744361712;2.92243837336663;1.69516982125331
2483.602;-0.446287102628419;0.0493408669536474;8.60093121683139;4.1820175235347;3.99587424133689;1.29490112506566
2700;0.867100487683383;0.0966712167061006;8.19038906761061;1.3982710313839;3.77404114379474;0.635506944780093
1269.154;0.693147180559945;0.065023476115355;7.83143385341812;0.547382335552343;2.13096916112911;0.418221399559326
2600;0.693147180559945;0.214130921961138;8.28118853956609;1.02285181025583;2.94562626107477;0.783195815408625
2649.655;0.657520002916794;0.040749582054099;8.67977179913323;-0.0296424846513583;3.42997022816436;0.943249263135576
2200;1.04380405217311;0.0302460155912841;6.43045307985525;1.42756396677493;4.45950580812676;1.88390783758873
2007.49;0.582215619852664;0.275035048148836;6.8627579130514;1.94626406877817;3.9148559447502;0.778768758893343
2148.85;0.779324876800998;0.0646719967830714;6.51632768236774;1.15093810161379;3.74019506366416;0.471768321260462
